label	config	description
linf_base	sweeps/tta_linf8_tta_algs_all_domains.yaml	Linf8 baseline across main TTA methods
linf_jpeg	sweeps/tta_linf8_jpeg_defense_all_tta.yaml	Linf8 with JPEG defense
linf_fft	sweeps/tta_linf8_fft_defense_all_tta.yaml	Linf8 with FFT defense
linf_gauss	sweeps/tta_linf8_gauss_defense_all_tta.yaml	Linf8 with Gaussian defense
linf_advsrc	sweeps/tta_linf8_adv_source_all_tta.yaml	Linf8 with adversarially trained source weights
safer_standalone_aug	sweeps/safer_aug_isolation.yaml	SAFER standalone augmentation sweep (unsupervised_adapt_dataset.py)
safer_standalone_loss	sweeps/safer_losses.yaml	SAFER standalone loss sweep (unsupervised_adapt_dataset.py)
safer_wrap_module	sweeps/safer_aug_with_tta_safe.yaml	SAFER wrapper-module parameter sweep (unsupervised_adapt_dataset.py)
safer_wrap_sanity	sweeps/safer_with_tta_test_run.yaml	SAFER wrapper sanity sweep over main baselines (unsupervise_adapt.py)
safer_control_pure_tta	sweeps/safer_build_pure_tta.yaml	Control: no SAFER wrapping/no SAFER augmentation
safer_control_no_adapt	sweeps/safer_build_no_adapt.yaml	Control: no adaptation
